# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
3.48500e+02	4.43344e+07
3.49000e+02	4.10293e+07
3.49500e+02	4.04931e+07
3.50000e+02	4.99692e+07
3.50500e+02	5.26040e+07
3.51000e+02	4.68722e+07
3.51500e+02	4.53375e+07
3.52000e+02	4.86749e+07
3.52500e+02	3.79507e+07
3.53000e+02	4.77042e+07
3.53500e+02	5.09400e+07
3.54000e+02	5.28352e+07
3.54500e+02	5.35286e+07
3.55000e+02	5.32512e+07
3.55500e+02	4.79816e+07
3.56000e+02	5.01079e+07
3.56500e+02	4.27396e+07
3.57000e+02	3.52928e+07
3.57500e+02	4.31649e+07
3.58000e+02	3.41649e+07
3.58500e+02	2.91634e+07
3.59000e+02	4.07473e+07
3.59500e+02	5.18644e+07
3.60000e+02	5.49153e+07
3.60500e+02	4.38398e+07
3.61000e+02	3.98783e+07
3.61500e+02	4.57489e+07
3.62000e+02	3.94114e+07
3.62500e+02	5.43606e+07
3.63000e+02	4.86749e+07
3.63500e+02	4.47088e+07
3.64000e+02	5.45455e+07
3.64500e+02	4.65486e+07
3.65000e+02	4.73344e+07
3.65500e+02	5.93067e+07
3.66000e+02	6.26811e+07
3.66500e+02	5.87520e+07
3.67000e+02	5.71341e+07
3.67500e+02	5.92142e+07
3.68000e+02	5.17258e+07
3.68500e+02	5.20956e+07
3.69000e+02	5.61634e+07
3.69500e+02	5.97689e+07
3.70000e+02	6.36056e+07
3.70500e+02	4.92758e+07
3.71000e+02	5.25578e+07
3.71500e+02	6.56857e+07
3.72000e+02	4.35532e+07
3.72500e+02	5.21418e+07
3.73000e+02	5.29276e+07
3.73500e+02	3.43729e+07
3.74000e+02	4.98768e+07
3.74500e+02	4.12281e+07
3.75000e+02	4.00308e+07
3.75500e+02	5.97227e+07
3.76000e+02	4.94608e+07
3.76500e+02	5.12173e+07
3.77000e+02	5.41295e+07
3.77500e+02	6.32358e+07
3.78000e+02	6.85054e+07
3.78500e+02	6.47150e+07
3.79000e+02	5.33899e+07
3.79500e+02	4.87674e+07
3.80000e+02	5.06626e+07
3.80500e+02	6.12481e+07
3.81000e+02	6.12481e+07
3.81500e+02	4.84438e+07
3.82000e+02	4.29338e+07
3.82500e+02	3.65131e+07
3.83000e+02	3.37442e+07
3.83500e+02	3.24500e+07
3.84000e+02	3.57504e+07
3.84500e+02	5.25116e+07
3.85000e+02	5.20031e+07
3.85500e+02	4.83514e+07
3.86000e+02	4.13529e+07
3.86500e+02	5.42219e+07
3.87000e+02	4.50232e+07
3.87500e+02	5.05239e+07
3.88000e+02	4.65948e+07
3.88500e+02	4.59893e+07
3.89000e+02	4.95994e+07
3.89500e+02	6.00000e+07
3.90000e+02	6.01387e+07
3.90500e+02	5.52851e+07
3.91000e+02	6.49924e+07
3.91500e+02	6.62404e+07
3.92000e+02	5.57474e+07
3.92500e+02	4.98306e+07
3.93000e+02	2.76842e+07
3.93500e+02	2.00940e+07
3.94000e+02	4.08490e+07
3.94500e+02	5.18644e+07
3.95000e+02	6.32358e+07
3.95500e+02	6.42065e+07
3.96000e+02	5.56087e+07
3.96500e+02	3.24453e+07
3.97000e+02	2.43190e+07
3.97500e+02	4.94145e+07
3.98000e+02	6.91988e+07
3.98500e+02	7.14638e+07
3.99000e+02	7.71958e+07
3.99500e+02	7.68722e+07
4.00000e+02	7.98306e+07
4.01000e+02	8.17720e+07
4.02000e+02	8.60247e+07
4.03000e+02	8.14947e+07
4.04000e+02	8.01079e+07
4.05000e+02	7.99692e+07
4.06000e+02	7.84438e+07
4.07000e+02	7.69646e+07
4.08000e+02	7.99230e+07
4.09000e+02	8.53776e+07
4.10000e+02	7.44222e+07
4.11000e+02	8.04315e+07
4.12000e+02	8.61172e+07
4.13000e+02	8.39446e+07
4.14000e+02	8.47766e+07
4.15000e+02	8.47766e+07
4.16000e+02	8.60247e+07
4.17000e+02	8.38059e+07
4.18000e+02	8.21418e+07
4.19000e+02	8.30663e+07
4.20000e+02	8.26041e+07
4.21000e+02	8.62558e+07
4.22000e+02	8.18645e+07
4.23000e+02	7.98306e+07
4.24000e+02	8.43606e+07
4.25000e+02	8.40370e+07
4.26000e+02	8.15871e+07
4.27000e+02	7.99692e+07
4.28000e+02	7.78429e+07
4.29000e+02	7.34978e+07
4.30000e+02	6.42065e+07
4.31000e+02	6.36518e+07
4.32000e+02	8.19569e+07
4.33000e+02	8.22805e+07
4.34000e+02	7.63637e+07
4.35000e+02	7.97381e+07
4.36000e+02	8.95840e+07
4.37000e+02	8.81048e+07
4.38000e+02	8.00617e+07
4.39000e+02	8.29739e+07
4.40000e+02	8.54238e+07
4.41000e+02	8.82898e+07
4.42000e+02	9.45764e+07
4.43000e+02	9.22189e+07
4.44000e+02	9.40216e+07
4.45000e+02	9.20340e+07
4.46000e+02	8.75502e+07
4.47000e+02	9.43914e+07
4.48000e+02	9.60093e+07
4.49000e+02	9.60093e+07
4.50000e+02	9.85055e+07
4.51000e+02	1.02065e+08
4.52000e+02	9.82281e+07
4.53000e+02	9.22651e+07
4.54000e+02	9.61018e+07
4.55000e+02	9.66565e+07
4.56000e+02	9.88290e+07
4.57000e+02	1.00401e+08
4.58000e+02	9.70725e+07
4.59000e+02	9.64254e+07
4.60000e+02	9.67027e+07
4.61000e+02	9.88290e+07
4.62000e+02	9.93838e+07
4.63000e+02	9.87366e+07
4.64000e+02	9.68414e+07
4.65000e+02	9.53622e+07
4.66000e+02	9.61018e+07
4.67000e+02	9.44377e+07
4.68000e+02	9.55008e+07
4.69000e+02	9.59631e+07
4.70000e+02	9.29122e+07
4.71000e+02	9.27274e+07
4.72000e+02	9.77196e+07
4.73000e+02	9.64716e+07
4.74000e+02	9.67952e+07
4.75000e+02	9.78121e+07
4.76000e+02	9.51310e+07
4.77000e+02	9.55471e+07
4.78000e+02	9.80432e+07
4.79000e+02	9.72112e+07
4.80000e+02	9.71650e+07
4.81000e+02	9.86904e+07
4.82000e+02	9.89215e+07
4.83000e+02	9.74423e+07
4.84000e+02	9.53160e+07
4.85000e+02	9.06934e+07
4.86000e+02	7.91372e+07
4.87000e+02	8.27890e+07
4.88000e+02	9.08321e+07
4.89000e+02	9.12019e+07
4.90000e+02	9.57782e+07
4.91000e+02	9.39754e+07
4.92000e+02	8.87058e+07
4.93000e+02	9.15717e+07
4.94000e+02	9.24500e+07
4.95000e+02	9.31896e+07
4.96000e+02	9.37443e+07
4.97000e+02	9.51773e+07
4.98000e+02	9.06934e+07
4.99000e+02	9.18953e+07
5.00000e+02	8.93067e+07
5.01000e+02	8.77813e+07
5.02000e+02	8.68106e+07
5.03000e+02	9.06472e+07
5.04000e+02	8.93529e+07
5.05000e+02	9.16642e+07
5.06000e+02	9.46688e+07
5.07000e+02	9.00463e+07
5.08000e+02	8.69492e+07
5.09000e+02	8.91680e+07
5.10000e+02	8.85209e+07
5.11000e+02	9.06934e+07
5.12000e+02	9.15717e+07
5.13000e+02	8.66256e+07
5.14000e+02	8.59323e+07
5.15000e+02	8.50540e+07
5.16000e+02	8.48691e+07
5.17000e+02	7.53468e+07
5.18000e+02	7.92296e+07
5.19000e+02	8.31126e+07
5.20000e+02	8.61634e+07
5.21000e+02	8.69954e+07
5.22000e+02	8.71341e+07
5.23000e+02	8.56087e+07
5.24000e+02	8.87982e+07
5.25000e+02	9.00463e+07
5.26000e+02	8.60710e+07
5.27000e+02	8.12636e+07
5.28000e+02	8.60710e+07
5.29000e+02	9.08321e+07
5.30000e+02	8.95840e+07
5.31000e+02	9.09708e+07
5.32000e+02	8.78737e+07
